images\\GJ01092017DC\\GJ01092017DCFrame00000, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02550, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02580, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02610, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02640, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02670, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02700, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02730, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02760, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02790, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02820, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02850, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02880, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02910, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02940, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02970, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame03000, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame03030, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame03060, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame03090, [0], [0]
images\\GJ01092017DC\\GJ01092017DCFrame03120, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame03150, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame03180, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03210, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03240, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03270, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03300, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03330, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame03360, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03390, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03420, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03450, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03480, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03510, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03540, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03570, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03600, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03630, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03660, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03690, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03720, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03750, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03780, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03810, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03840, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03870, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03900, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03930, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03960, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame03990, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04020, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04050, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04080, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04110, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04140, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04170, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04200, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04230, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04260, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04290, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04320, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04350, [2], [0]
images\\GJ01092017DC\\GJ01092017DCFrame04380, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04410, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04440, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04470, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04500, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04530, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04560, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04590, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04620, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04650, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04680, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04710, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04740, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04770, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04800, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04830, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04860, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04890, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04920, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04950, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame04980, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05010, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05040, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05070, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05100, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05130, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05160, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05190, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05220, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05250, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05280, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05310, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05340, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05370, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05400, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05430, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05460, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05490, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05520, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05550, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05580, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05610, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05640, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05670, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05700, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05730, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05760, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05790, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05820, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05850, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05880, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05910, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05940, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame05970, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06000, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06030, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06060, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06090, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06120, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06150, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06180, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06210, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06240, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06270, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06300, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06330, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06360, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06390, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06420, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06450, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06480, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06510, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06540, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06570, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06600, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06630, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06660, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06690, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06720, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06750, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06780, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06810, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06840, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06870, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06900, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06930, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06960, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame06990, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07020, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07050, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07080, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07110, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07140, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07170, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07200, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07230, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07260, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07290, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07320, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07350, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07380, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07410, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07440, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07470, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07500, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07530, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07560, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07590, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07620, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07650, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07680, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07710, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07740, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07770, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07800, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07830, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07860, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07890, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07920, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07950, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame07980, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08010, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08040, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08070, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08100, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08130, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08160, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08190, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08220, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08250, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08280, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08310, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08340, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08370, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08400, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08430, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08460, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08490, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08520, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08550, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08580, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08610, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08640, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08670, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08700, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08730, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08760, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08790, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08820, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08850, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08880, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08910, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08940, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame08970, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09000, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09030, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09060, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09090, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09120, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09150, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09180, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09210, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09240, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09270, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09300, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09330, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09360, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09390, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09420, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09450, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09480, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09510, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09540, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09570, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09600, [2], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09630, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09660, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09690, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09720, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09750, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09780, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09810, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09840, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09870, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09900, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09930, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09960, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame09990, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10020, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10050, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10080, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10110, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10140, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10170, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10200, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10230, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame10260, [0], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10290, [0], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10320, [0], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10350, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10380, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10410, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10440, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10470, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10500, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10530, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10560, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10590, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10620, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10650, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10680, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10710, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10740, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10770, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10800, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10830, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10860, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10890, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10920, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10950, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame10980, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11010, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11040, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11070, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11100, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11130, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11160, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11190, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11220, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11250, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11280, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11310, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11340, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11370, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11400, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11430, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11460, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11490, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11520, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11550, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11580, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11610, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11640, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11670, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11700, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11730, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11760, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11790, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11820, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11850, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11880, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11910, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11940, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame11970, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12000, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12030, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12060, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12090, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12120, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12150, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12180, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12210, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12240, [3], [3]
images\\GJ01092017DC\\GJ01092017DCFrame12270, [3], [3]
